profile,y_m,value,units,source_file
Mach,0.00183840,0.84,1,bkmach.dat
Mach,0.00513470,0.88174,1,bkmach.dat
Mach,0.00741680,1.0487,1,bkmach.dat
Mach,0.00855780,1.1009,1,bkmach.dat
Mach,0.00969890,1.08,1,bkmach.dat
Mach,0.00988910,1.1374,1,bkmach.dat
Mach,0.01153700,1.1374,1,bkmach.dat
Mach,0.01248800,1.1635,1,bkmach.dat
Mach,0.01534100,1.273,1,bkmach.dat
Mach,0.01762300,1.7217,1,bkmach.dat
Mach,0.01819300,1.8052,1,bkmach.dat
Mach,0.02047500,1.9565,1,bkmach.dat
Mach,0.03049100,2.3948,1,bkmach.dat
Mach,0.03271000,2.4104,1,bkmach.dat
total_temperature_K,0.00151900,862.85,K,bktemp.dat
total_temperature_K,0.00455700,996.53,K,bktemp.dat
total_temperature_K,0.00759490,1312.5,K,bktemp.dat
total_temperature_K,0.00816460,1494.8,K,bktemp.dat
total_temperature_K,0.00936710,1519.1,K,bktemp.dat
total_temperature_K,0.00987340,1677.1,K,bktemp.dat
total_temperature_K,0.01240500,1938.4,K,bktemp.dat
total_temperature_K,0.01449400,2491.3,K,bktemp.dat
total_temperature_K,0.01727800,2819.4,K,bktemp.dat
total_temperature_K,0.01879700,2983.5,K,bktemp.dat
total_temperature_K,0.02038000,2825.5,K,bktemp.dat
total_temperature_K,0.02202500,2637.2,K,bktemp.dat
total_temperature_K,0.02234200,2594.6,K,bktemp.dat
total_temperature_K,0.02493700,2497.4,K,bktemp.dat
total_temperature_K,0.02993700,2424.5,K,bktemp.dat
total_temperature_K,0.03253200,2388,K,bktemp.dat
H2_mole_fraction,0.00246840,0.88715,1,bkh2.dat
H2_mole_fraction,0.00405060,0.85938,1,bkh2.dat
H2_mole_fraction,0.00424050,0.84549,1,bkh2.dat
H2_mole_fraction,0.00569620,0.85243,1,bkh2.dat
H2_mole_fraction,0.00727850,0.80035,1,bkh2.dat
H2_mole_fraction,0.00746840,0.81944,1,bkh2.dat
H2_mole_fraction,0.00898730,0.77604,1,bkh2.dat
H2_mole_fraction,0.00898730,0.75521,1,bkh2.dat
H2_mole_fraction,0.01057000,0.74306,1,bkh2.dat
H2_mole_fraction,0.01227800,0.67361,1,bkh2.dat
H2_mole_fraction,0.01398700,0.6441,1,bkh2.dat
H2_mole_fraction,0.01398700,0.61806,1,bkh2.dat
H2_mole_fraction,0.01563300,0.55903,1,bkh2.dat
H2_mole_fraction,0.01563300,0.50694,1,bkh2.dat
H2_mole_fraction,0.01886100,0.28472,1,bkh2.dat
H2_mole_fraction,0.02050600,0.18403,1,bkh2.dat
H2_mole_fraction,0.02050600,0.16319,1,bkh2.dat
H2_mole_fraction,0.02183500,0.085069,1,bkh2.dat
H2_mole_fraction,0.02278500,0.036458,1,bkh2.dat
H2_mole_fraction,0.02329100,0.027778,1,bkh2.dat
H2_mole_fraction,0.02683500,0.027778,1,bkh2.dat
H2_mole_fraction,0.02835400,0.024306,1,bkh2.dat
H2_mole_fraction,0.03139200,0.024306,1,bkh2.dat
H2_mole_fraction,0.03746800,0.064236,1,bkh2.dat
H2_mole_fraction,0.03810100,0.020833,1,bkh2.dat
H2_mole_fraction,0.03917700,0.0625,1,bkh2.dat
H2_mole_fraction,0.03987300,0.057292,1,bkh2.dat
H2O_mole_fraction,0.00247230,0.071875,1,bkh2o.dat
H2O_mole_fraction,0.00405710,0.079167,1,bkh2o.dat
H2O_mole_fraction,0.00557840,0.084375,1,bkh2o.dat
H2O_mole_fraction,0.00735340,0.11667,1,bkh2o.dat
H2O_mole_fraction,0.00247230,0.071875,1,bkh2o.dat
H2O_mole_fraction,0.00405710,0.079167,1,bkh2o.dat
H2O_mole_fraction,0.00557840,0.084375,1,bkh2o.dat
H2O_mole_fraction,0.00716320,0.1375,1,bkh2o.dat
H2O_mole_fraction,0.00735340,0.11667,1,bkh2o.dat
H2O_mole_fraction,0.00881140,0.16563,1,bkh2o.dat
H2O_mole_fraction,0.00906500,0.12813,1,bkh2o.dat
H2O_mole_fraction,0.01052300,0.15938,1,bkh2o.dat
H2O_mole_fraction,0.01229800,0.22708,1,bkh2o.dat
H2O_mole_fraction,0.01388300,0.25,1,bkh2o.dat
H2O_mole_fraction,0.01401000,0.225,1,bkh2o.dat
H2O_mole_fraction,0.01559400,0.27813,1,bkh2o.dat
H2O_mole_fraction,0.01559400,0.34896,1,bkh2o.dat
H2O_mole_fraction,0.01901700,0.48021,1,bkh2o.dat
H2O_mole_fraction,0.02028500,0.525,1,bkh2o.dat
H2O_mole_fraction,0.02053900,0.50625,1,bkh2o.dat
H2O_mole_fraction,0.02218700,0.52917,1,bkh2o.dat
H2O_mole_fraction,0.02351800,0.49063,1,bkh2o.dat
H2O_mole_fraction,0.02370800,0.475,1,bkh2o.dat
H2O_mole_fraction,0.02510300,0.39375,1,bkh2o.dat
H2O_mole_fraction,0.02675100,0.39375,1,bkh2o.dat
H2O_mole_fraction,0.02859000,0.39063,1,bkh2o.dat
H2O_mole_fraction,0.03188600,0.38542,1,bkh2o.dat
H2O_mole_fraction,0.03822500,0.39375,1,bkh2o.dat
